time,durable_step,current_step,furthest_step,steps_at_risk,train_loss,tokens_b,nodes_training,nodes_lost,replacements,below_full_world,degraded_band,goodput,ms_per_step,ms_per_step_typical,whole_group_restarts,usd,usd_per_1k,supervisor_up
1786337339774,532,590,590,58,5.4169,0.289997,8,0,0,0,,0.0,2913,1753,0,3.21,5.4407,1
1786337361883,584,600,600,16,5.3766,0.294912,8,0,0,0,,0.0,2211,1752,0,3.2594,5.4324,1
1786337411969,584,610,610,26,5.343,0.299827,8,0,0,0,,0.0,5009,1742,0,3.3714,5.5269,1
1786337441503,614,620,620,6,5.3547,0.304742,8,0,0,0,,0.0,2953,1752,0,3.4374,5.5442,1
1786337463676,614,630,630,16,5.2906,0.309658,8,0,0,0,,0.0,2217,1753,0,3.487,5.5349,1
1786337481030,614,640,640,26,5.2752,0.314573,8,0,0,0,,0.0,1735,1753,0,3.5258,5.509,1
1786337498555,614,650,650,36,5.2469,0.319488,8,0,0,0,,0.0,1752,1752,0,3.565,5.4846,1
1786337515908,614,660,660,46,5.2009,0.324403,8,0,0,0,,0.0,1735,1742,0,3.6038,5.4602,1
1786337545708,614,670,670,56,5.2692,0.329318,8,0,0,0,,0.0,2980,1752,0,3.6704,5.4782,1
1786337567992,665,680,680,15,5.2008,0.334234,8,0,0,0,,0.0,2228,1753,0,3.7202,5.4709,1
1786337585363,665,690,690,25,5.1564,0.339149,8,0,0,0,,0.0,1737,1764,0,3.759,5.4479,1
1786337602781,665,700,700,35,5.1696,0.344064,8,0,0,0,,0.0,1742,1753,0,3.798,5.4257,1
1786337620117,665,710,710,45,5.1135,0.348979,8,0,0,0,,0.0,1734,1752,0,3.8367,5.4038,1
1786337649438,665,720,720,55,5.0745,0.353894,8,0,0,0,,0.0,2932,1764,0,3.9023,5.4198,1
1786337671511,716,730,730,14,5.1331,0.35881,8,0,0,0,,0.0,2207,1777,0,3.9516,5.4132,1
1786337688916,716,740,740,24,5.0773,0.363725,8,0,0,0,,0.0,1741,1788,0,3.9905,5.3926,1
1786337706289,716,750,750,34,5.0461,0.36864,8,0,0,0,,0.0,1737,1788,0,4.0294,5.3725,1
1786337723609,716,760,760,44,5.0307,0.373555,8,0,0,0,,0.0,1732,1788,0,4.0681,5.3527,1
1786337752447,716,770,770,54,5.0138,0.37847,8,0,0,0,,0.0,2884,1788,0,4.1326,5.367,1
1786337775347,768,780,780,12,5.0039,0.383386,8,0,0,0,,0.0,2290,1788,0,4.1837,5.3638,1
1786337792986,768,790,790,22,4.9688,0.388301,8,0,0,0,,0.0,1764,1777,0,4.2232,5.3458,1
1786337810329,768,800,800,32,4.9143,0.393216,8,0,0,0,,0.0,1734,1777,0,4.262,5.3274,1
1786337827723,768,810,810,42,4.9032,0.398131,8,0,0,0,,0.0,1739,1788,0,4.3008,5.3097,1
1786337855822,768,820,820,52,4.8968,0.403046,8,0,0,0,,0.0,2810,1788,0,4.3637,5.3215,1
1786337879017,819,830,830,11,4.8633,0.407962,8,0,0,0,,0.0,2319,1783,0,4.4155,5.3199,1
